Type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
sc01,9924.27,75.46,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc02,4627.26,3568.37,1373.108,351.497,67.699,10.578,1.319,0.158,0.009,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc03,2143.761,3302.518,2542.384,1305.058,501.681,154.418,39.448,8.782,1.605,0.288,0.048,0.008,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
sc04,992.528,2295.331,2649.691,2040.015,1176.893,543.376,207.748,68.378,19.628,5.017,1.127,0.216,0.043,0.009,0,0,0,0,0,0,0,0,0,0,0,0
sc05,461.017,1420.538,2183.943,2241.067,1723.591,1057.402,540.545,236.798,90.958,31.199,9.417,2.657,0.675,0.156,0.031,0.004,0.002,0,0,0,0,0,0,0,0,0
sc06,213.552,824.276,1582.909,2030.434,1947.366,1496.26,959.636,525.628,251.492,106.929,40.836,14.435,4.442,1.322,0.363,0.092,0.023,0.005,0,0,0,0,0,0,0,0
sc07,99.633,457.832,1057.641,1627.62,1875.302,1730.741,1328.653,870.693,501.406,256.318,116.75,49.198,18.607,6.59,2.111,0.644,0.186,0.057,0.014,0.004,0,0,0,0,0,0
sc08,46.166,247.428,668.512,1200.003,1615.808,1734.036,1551.956,1190.738,799.76,475.141,254.733,124.12,55.368,23.037,8.673,3.042,1.053,0.303,0.078,0.026,0.014,0.005,0,0,0,0
sc09,21.44,131.463,405.139,830.55,1277.549,1573.774,1608.338,1410.38,1078.474,734.537,449.07,249.755,127.134,59.682,26.086,10.478,4.056,1.401,0.517,0.13,0.038,0.005,0.004,0,0,0
sc10,4.542,35.389,136.853,351.276,674.95,1036.655,1323.981,1449.741,1388.952,1181.466,906.695,628.792,398.634,234.687,127.683,64.928,31.237,13.95,5.93,2.321,0.859,0.321,0.113,0.035,0.008,0.002
