Type,0%,2.4%,25%,50%,75%,97.6%,100%
sc01,0.0013,0.0021,0.0027,0.0031,0.0035,0.0042,0.0047
sc02,0.1275,0.1327,0.137,0.1394,0.1419,0.1463048,0.1497
sc03,0.1681,0.1718,0.1764,0.1791,0.1817,0.1866,0.1919
sc04,0.1966,0.2031,0.208775,0.2113,0.214,0.2194,0.2251
sc05,0.2273,0.2322,0.2376,0.2406,0.243225,0.2495024,0.2533
sc06,0.2509,0.2559,0.2613,0.26425,0.2668,0.2729,0.2776
sc07,0.2686,0.2738,0.2793,0.2824,0.2856,0.2911024,0.2953
sc08,0.2829,0.2867,0.292975,0.2961,0.299,0.3053024,0.3134
sc09,0.2889,0.2970976,0.3029,0.3057,0.308925,0.315,0.3186
sc10,0.3051,0.3102,0.3159,0.3193,0.3222,0.3279024,0.3379
